name,lat,lon,station,labels,services,distance_to_school,stores,floors,retail_area,opening_year
IKEA Alexandra,1.28796619500179,103.806034849631,QUE,EW19,16,0.861,1.0,2.0,400000.0,1995.0
IKEA Tampines,1.3742,103.9323,TPN,CR6,13,0.3235,1.0,4.0,410000.0,2006.0
Mustafa Centre,1.30972222222222,103.855833333333,FRP,NE8,5,0.6355,1.0,6.0,400000.0,1995.0
Greenwich V,1.3874,103.8694,FNV,SW5,10,0.6471,23.0,2.0,43724.0,2014.0
Tekka Place,1.30511517651876,103.85140231192,RCR,DT13,30,0.2519,24.0,3.0,70000.0,2019.0
321 Clementi,1.312,103.765,CLE,EW23,33,0.3982,24.0,7.0,191000.0,2011.0
HillV2,1.3634,103.7643,HVW,DT3,9,0.4966,26.0,2.0,53149.0,2014.0
Jubilee Square,1.37179322187099,103.847788165308,AMK,"CR11,NS16",34,0.4854,25.0,4.0,30000.0,1996.0
Cathay Cineleisure Orchard,1.3015,103.836416666666,SOM,NS23,45,0.8119,29.0,8.0,169897.0,1997.0
Bedok Point,1.32490638888888,103.932364166666,BDK,EW5,17,0.5496,27.0,5.0,82713.0,2010.0
Rail Mall,1.3581,103.7679,HME,DT4,11,0.9471,28.0,1.0,50000.0,1947.0
FairPrice Hub,1.32713597012207,103.678381573053,JKN,EW29,13,1.6264,28.0,3.0,130000.0,2015.0
Woods Square,1.43488437959136,103.784899178213,WDL,"NS9,TE2",3,0.3028,33.0,4.0,39264.0,2021.0
Zhongshan Mall,1.32694504456951,103.846554377679,TAP,NS19,9,0.2861,35.0,2.0,58000.0,2013.0
The Cathay,1.2995,103.8478,DBG,"CC1,NE6,NS24",54,0.1449,36.0,7.0,168000.0,2006.0
Hougang 1,1.3761,103.8792,SRN,CR9,23,0.2284,39.0,3.0,85915.0,1999.0
Le Quest,1.3558,103.7412,TGK,JE2,4,0.7338,38.0,1.0,45000.0,2020.0
Buangkok Square,1.38433,103.88162,TGK,SW7,3,0.7508,43.0,3.0,53000.0,2006.0
Canberra Plaza,1.44325666666666,103.830461944444,CBR,NS12,7,0.8045,45.0,4.0,88000.0,2020.0
Oasis Terraces,1.402767,103.913175,OAS,PE6,4,0.3079,45.0,6.0,193750.0,2018.0
Velocity @ Novena Square,1.32,103.8439,NOV,NS20,19,0.3162,120.0,3.0,170672.0,2000.0
Aperia,1.3105,103.8642,LVR,EW11,11,1.0844,49.0,3.0,105733.0,2014.0
Anchorpoint,1.2888,103.8051,QUE,EW19,16,0.803,53.0,2.0,70988.0,1997.0
Northshore Plaza,1.4168,103.9018,SMD,PW4,2,0.6673,55.0,3.0,62200.0,2021.0
100 AM,1.2749,103.8435,TPG,EW15,39,0.3984,57.0,5.0,121000.0,2012.0
Punggol Plaza,1.39419951100743,103.913049489902,CRE,PE3,9,0.2659,56.0,6.0,370000.0,2004.0
Wisteria Mall,1.41822651649707,103.841238863028,KTB,NS14,8,0.307,62.0,2.0,83361.0,2019.0
Alexandra Retail Centre,1.27392256376982,103.801500383382,LBD,CC27,20,0.8293,68.0,3.0,89652.0,1985.0
Rivervale Mall,1.39219369137172,103.904460631224,RMB,SE2,7,0.1357,69.0,3.0,81160.0,2000.0
CityLink Mall,1.2913,103.8552,EPN,CC3,51,0.7007,70.0,2.0,67758.0,2000.0
Yew Tee Point,1.3972,103.7468,YWT,NS5,7,0.3261,71.0,2.0,73699.0,2006.0
Sembawang Shopping Centre,1.44190194,103.82509139,CBR,NS12,7,0.5718,72.0,4.0,143631.0,1986.0
Kallang Wave Mall,1.30319444444444,103.872916666666,SDM,CC6,0,1.171,79.0,3.0,441320.0,2014.0
Loyang Point,1.3669313,103.9644026,PRE,CR4,23,0.4163,77.0,2.0,75000.0,1995.0
Orchard Central,1.3006,103.8399,SOM,NS23,45,0.7457,82.0,13.0,258912.0,2009.0
West Coast Plaza,1.30368639844921,103.76593684782,CLE,EW23,7,0.2971,84.0,3.0,151137.0,1992.0
Bugis+,1.299617,103.854408,BGS,"DT14,EW12",38,0.3096,83.0,6.0,202680.0,2009.0
One Raffles Place,1.2842,103.8511,RFP,"EW14,NS26",26,1.4116,87.0,6.0,100000.0,1985.0
Clarke Quay Central,1.289,103.8466,CQY,NE5,39,1.0723,84.0,6.0,201546.0,2007.0
KINEX,1.3147,103.8948,PYL,"CC9,EW8",25,0.716,85.0,4.0,202479.0,2019.0
Mandarin Gallery,1.3021,103.8364,SOM,NS23,45,0.8783,76.0,4.0,126282.0,2010.0
The Star Vista,1.3068,103.7884,BNV,"CC22,EW21",20,0.5236,103.0,3.0,162500.0,2012.0
Sun Plaza,1.4482,103.8195,SBW,NS11,20,0.3876,102.0,6.0,158000.0,1999.0
Heartland Mall,1.35954166666666,103.885161111111,KVN,NE13,15,0.6178,104.0,3.0,86000.0,1984.0
Paya Lebar Square,1.3188,103.8926,PYL,"CC9,EW8",24,0.9824,106.0,3.0,95475.0,2011.0
Wisma Atria,1.30373064845421,103.833256634134,ORC,"NS22,TE14",44,1.0597,105.0,5.0,127000.0,1986.0
Wheelock Place,1.30452777777777,103.830638888888,ORC,"NS22,TE14",48,1.266,105.0,7.0,153258.0,1993.0
West Mall,1.34999444444444,103.749055555555,BBT,NS2,27,0.5328,109.0,6.0,183000.0,1998.0
JCube,1.33331944444444,103.739975,JUR,"EW24,JE5,NS1",33,0.5573,110.0,5.0,210036.0,2012.0
United Square,1.3173,103.8437,NOV,NS20,19,0.2178,115.0,5.0,210111.0,2000.0
Singpost Centre,1.319,103.8944,PYL,"CC9,EW8",22,1.1153,116.0,4.0,175000.0,2017.0
The Centrepoint,1.30152777777777,103.839583333333,SOM,NS23,45,0.7755,121.0,8.0,371300.0,1983.0
Our Tampines Hub,1.3531218484961,103.940496435496,TAM,"DT32,EW2",23,0.4945,106.0,7.0,300000.0,2017.0
Bukit Panjang Plaza,1.38,103.7642,BKP,"BP6,DT1",36,0.4898,122.0,4.0,152306.0,1998.0
White Sands,1.3725,103.949722222222,PSR,"CP1,CR5,EW1",29,0.487,129.0,7.0,148000.0,1997.0
Junction 9,1.4331,103.8416,YIS,NS13,13,0.3433,131.0,2.0,95351.0,2013.0
Hillion Mall,1.3785,103.7633,BKP,"BP6,DT1",36,0.3317,128.0,4.0,174730.0,2017.0
Century Square,1.35236111111111,103.94375,TAM,"DT32,EW2",45,0.2885,127.0,6.0,205000.0,1995.0
Hougang Mall,1.37253530326788,103.893830142281,HGN,"CR8,NE14",34,0.306,130.0,6.0,166361.0,1997.0
Downtown East,1.37676770242045,103.955036593979,PSR,"CP1,CR5,EW1",13,0.2694,148.0,5.0,130000.0,2000.0
Square 2,1.3208,103.8441,NOV,NS20,16,0.3806,137.0,5.0,138396.0,2007.0
Katong Shopping Centre,1.30392382087148,103.901191399927,MPR,TE26,23,0.1907,145.0,7.0,90000.0,1973.0
313@Somerset,1.3009,103.8384,SOM,NS23,45,0.7961,141.0,9.0,288277.0,2009.0
Lot One,1.38516750273437,103.744977148269,CCK,"BP1,JS1,NS4",27,0.4152,147.0,6.0,219836.0,1996.0
HarbourFront Centre,1.2642,103.8204,HBF,"CC29,NE1",20,1.2606,152.0,3.0,100000.0,1977.0
Clementi Mall,1.31468,103.7643,CLE,EW23,33,0.1353,156.0,6.0,192460.0,2011.0
Chinatown Point,1.28520936774249,103.844912011865,CNT,"DT19,NE4",29,0.8775,160.0,6.0,207726.0,1990.0
Junction 8 Shopping Centre,1.35064444444444,103.848774999999,BSH,"CC15,NS17",19,0.556,164.0,6.0,252383.0,1993.0
Tampines 1,1.3542,103.945,TAM,"DT32,EW2",42,0.4405,167.0,6.0,260000.0,2009.0
Ngee Ann City,1.3026,103.8346,ORC,"NS22,TE14",44,0.9412,166.0,7.0,255021.0,1993.0
Thomson Plaza,1.35470833333333,103.830936111111,UTS,TE8,13,0.6931,166.0,4.0,239316.0,1979.0
City Square Mall,1.31130874702868,103.856592538671,FRP,NE8,18,0.6583,186.0,11.0,450000.0,2009.0
Millenia Walk,1.2928,103.8598,PMN,"CC35,CC4,CE0,DT15",35,0.9564,188.0,2.0,322917.0,1995.0
Marina Square,1.29111111111111,103.857499999999,EPN,CC3,53,0.8677,190.0,5.0,780000.0,1985.0
Paya Lebar Quarter,1.31749654222373,103.892836548267,PYL,"CC9,EW8",26,0.878,191.0,7.0,340000.0,2019.0
Funan,1.2913,103.8501,CTH,"EW13,NS25",37,0.6598,125.0,6.0,324000.0,2019.0
Compass One,1.3920077081682,103.895057618433,SKG,"NE16,SE0,SW0",28,0.4089,203.0,5.0,272881.0,2002.0
AMK Hub,1.36963888888888,103.8485,AMK,"CR11,NS16",44,0.4962,213.0,6.0,320000.0,2007.0
Waterway Point,1.40667,103.902,PGL,"CP4,NE17,PE0,PW0",10,0.3253,218.0,4.0,371200.0,2016.0
Marina Bay Sands Shoppes,1.28502908693319,103.859370669179,BFT,"CC34,CE1,DT16",10,1.5365,216.0,5.0,800000.0,2010.0
Causeway Point,1.43611111111111,103.785833333333,WDL,"NS9,TE2",48,0.4122,230.0,6.0,416301.0,1998.0
The Paragon,1.30381111111111,103.835472222222,ORC,"NS22,TE14",42,0.8666,213.0,8.0,484840.0,1998.0
IMM,1.334992,103.747105,JUR,"EW24,JE5,NS1",13,1.095,229.0,5.0,953002.0,1991.0
Raffles City Singapore,1.2936111111111,103.85305555556,CTH,"EW13,NS25",77,0.3719,212.0,5.0,426830.0,1986.0
Jewel Changi Airport,1.36017690752106,103.989724962774,CGA,"CG2,CR1",10,3.2273,241.0,7.0,576945.0,2019.0
Bugis Street,1.3006,103.8549,BGS,"DT14,EW12",33,0.3664,242.0,3.0,191060.0,1995.0
Bugis Junction,1.29916667,103.85527778,BGS,"DT14,EW12",32,0.4142,196.0,5.0,397320.0,1995.0
Parkway Parade,1.3013383238322,103.905171397733,MPR,TE26,18,0.7121,243.0,7.0,576000.0,1983.0
Jem,1.3332,103.74338,JUR,"EW24,JE5,NS1",5,0.8884,247.0,7.0,892000.0,2013.0
ION Orchard,1.30400953239726,103.831937185295,ORC,"NS22,TE14",48,1.1652,276.0,9.0,627971.0,2009.0
Great World City,1.29361111111111,103.831944444444,GRW,TE15,19,0.4356,302.0,6.0,420000.0,1997.0
Plaza Singapura,1.30027687022224,103.84514596848,DBG,"CC1,NE6,NS24",47,0.1793,250.0,9.0,619023.0,1974.0
Nex,1.35055758504945,103.872621931904,SER,"CC13,NE12",37,0.4278,333.0,7.0,616000.0,2010.0
Suntec City,1.295,103.8583,PMN,"CC35,CC4,CE0,DT15",35,0.7077,355.0,5.0,888000.0,1997.0
Jurong Point Shopping Mall,1.33999999999999,103.706388888888,BNL,"EW27,JS8",35,0.4545,373.0,9.0,750000.0,1995.0
VivoCity,1.2644,103.8222,HBF,"CC29,NE1",18,1.1946,357.0,5.0,1076251.0,2006.0
Northpoint City,1.42816666666666,103.836111111111,YIS,NS13,45,0.5119,405.0,6.0,500000.0,1992.0
Sim Lim Square,1.30305555555555,103.853055555555,RCR,DT13,27,0.1682,442.0,7.0,236881.0,1987.0
Lucky Plaza,1.304475,103.833855555555,ORC,"NS22,TE14",44,0.9575,540.0,7.0,175200.0,1977.0
